2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment distribution, percent, 2023","Employment distribution, percent, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Percent self employed, 2023","Occupational openings, 2023–33 annual average","Median annual wage, dollars, 2023[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Major Occupation Group
        Clinical and counseling psychologists,19-3033,Line item,76.8,87.0,0.0,0.0,10.2,13.3,4.3,5.1,96100.0,Doctoral or professional degree,,Internship/residency,"Life, Physical, and Social Science"
        School psychologists,19-3034,Line item,65.5,66.0,0.0,0.0,0.5,0.7,4.3,3.6,84940.0,Master's degree,,Internship/residency,"Life, Physical, and Social Science"
"        Psychologists, all other",19-3039,Line item,56.6,59.4,0.0,0.0,2.9,5.0,72.5,3.8,117750.0,Master's degree,,Internship/residency,"Life, Physical, and Social Science"
      Sociologists,19-3041,Line item,3.3,3.6,0.0,0.0,0.2,6.9,3.9,0.3,101770.0,Master's degree,,,"Life, Physical, and Social Science"
      Urban and regional planners,19-3051,Line item,45.2,47.1,0.0,0.0,2.0,4.3,2.1,3.6,81800.0,Master's degree,,,"Life, Physical, and Social Science"
        Anthropologists and archeologists,19-3091,Line item,8.7,9.3,0.0,0.0,0.7,7.8,5.0,0.8,63800.0,Master's degree,,,"Life, Physical, and Social Science"
        Geographers,19-3092,Line item,1.6,1.7,0.0,0.0,0.0,2.5,,0.1,90880.0,Bachelor's degree,,,"Life, Physical, and Social Science"
        Historians,19-3093,Line item,3.4,3.6,0.0,0.0,0.2,5.7,2.8,0.3,72890.0,Master's degree,,,"Life, Physical, and Social Science"
        Political scientists,19-3094,Line item,6.2,6.3,0.0,0.0,0.2,2.6,1.7,0.5,132350.0,Master's degree,,,"Life, Physical, and Social Science"
"        Social scientists and related workers, all other",19-3099,Line item,39.2,40.6,0.0,0.0,1.3,3.4,2.0,3.5,95890.0,Bachelor's degree,,,"Life, Physical, and Social Science"
        Agricultural technicians,19-4012,Line item,19.6,20.8,0.0,0.0,1.2,5.9,5.8,3.0,43180.0,Associate's degree,,Moderate-term on-the-job training,"Life, Physical, and Social Science"
        Food science technicians,19-4013,Line item,25.1,26.9,0.0,0.0,1.8,7.3,6.7,3.9,49090.0,Associate's degree,,Moderate-term on-the-job training,"Life, Physical, and Social Science"
      Biological technicians,19-4021,Line item,83.1,88.6,0.0,0.1,5.5,6.6,,10.3,51430.0,Bachelor's degree,,,"Life, Physical, and Social Science"
      Chemical technicians,19-4031,Line item,58.3,61.4,0.0,0.0,3.2,5.5,0.9,7.3,56750.0,Associate's degree,,Moderate-term on-the-job training,"Life, Physical, and Social Science"
"        Environmental science and protection technicians, including health",19-4042,Line item,33.9,36.2,0.0,0.0,2.4,7.0,,4.1,50660.0,Associate's degree,,,"Life, Physical, and Social Science"
"        Geological technicians, except hydrologic technicians",19-4043,Line item,9.2,9.5,0.0,0.0,0.3,3.8,,1.1,52440.0,Associate's degree,,Moderate-term on-the-job training,"Life, Physical, and Social Science"
        Hydrologic technicians,19-4044,Line item,3.2,3.3,0.0,0.0,0.1,2.4,,0.4,55890.0,Associate's degree,,Moderate-term on-the-job training,"Life, Physical, and Social Science"
      Nuclear technicians,19-4051,Line item,5.4,5.1,0.0,0.0,-0.3,-6.2,,0.5,101740.0,Associate's degree,,Moderate-term on-the-job training,"Life, Physical, and Social Science"
      Social science research assistants,19-4061,Line item,37.5,39.9,0.0,0.0,2.4,6.3,4.0,5.0,56400.0,Bachelor's degree,,,"Life, Physical, and Social Science"
      Forest and conservation technicians,19-4071,Line item,31.3,31.8,0.0,0.0,0.5,1.7,0.6,4.0,51880.0,Associate's degree,,,"Life, Physical, and Social Science"
        Forensic science technicians,19-4092,Line item,18.6,21.2,0.0,0.0,2.5,13.6,0.7,2.7,64940.0,Bachelor's degree,,Moderate-term on-the-job training,"Life, Physical, and Social Science"
"        Life, physical, and social science technicians, all other",19-4099,Line item,83.3,88.2,0.0,0.1,4.8,5.8,4.3,11.1,58350.0,Associate's degree,,,"Life, Physical, and Social Science"
      Occupational health and safety specialists,19-5011,Line item,125.9,144.7,0.1,0.1,18.8,14.9,0.2,15.1,81140.0,Bachelor's degree,,,"Life, Physical, and Social Science"
      Occupational health and safety technicians,19-5012,Line item,27.6,30.8,0.0,0.0,3.2,11.4,0.2,3.2,57920.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Life, Physical, and Social Science"
"        Educational, guidance, and career counselors and advisors",21-1012,Line item,360.8,377.0,0.2,0.2,16.2,4.5,0.6,29.1,61710.0,Master's degree,,,Community and Social Services
        Marriage and family therapists,21-1013,Line item,76.0,88.2,0.0,0.1,12.3,16.2,14.1,7.5,58510.0,Master's degree,,Internship/residency,Community and Social Services
        Rehabilitation counselors,21-1015,Line item,87.6,89.2,0.1,0.1,1.6,1.8,,8.0,44040.0,Master's degree,,,Community and Social Services
"        Substance abuse, behavioral disorder, and mental health counselors",21-1018,Line item,449.8,534.3,0.3,0.3,84.5,18.8,8.5,48.9,53710.0,Master's degree,,Internship/residency,Community and Social Services
"        Counselors, all other",21-1019,Line item,65.9,75.4,0.0,0.0,9.5,14.4,43.9,7.4,46130.0,Master's degree,,,Community and Social Services
"        Child, family, and school social workers",21-1021,Line item,365.9,383.8,0.2,0.2,17.9,4.9,,31.4,53940.0,Bachelor's degree,,,Community and Social Services
        Healthcare social workers,21-1022,Line item,193.2,211.9,0.1,0.1,18.7,9.7,0.4,18.8,62940.0,Master's degree,,Internship/residency,Community and Social Services
        Mental health and substance abuse social workers,21-1023,Line item,123.7,138.1,0.1,0.1,14.4,11.6,4.3,11.1,55960.0,Master's degree,,Internship/residency,Community and Social Services
"        Social workers, all other",21-1029,Line item,69.0,72.8,0.0,0.0,3.8,5.5,10.2,6.1,63770.0,Bachelor's degree,,,Community and Social Services
        Health education specialists,21-1091,Line item,62.1,66.4,0.0,0.0,4.3,7.0,0.8,6.7,62860.0,Bachelor's degree,,,Community and Social Services
        Probation officers and correctional treatment specialists,21-1092,Line item,90.7,94.0,0.1,0.1,3.2,3.6,,7.4,61800.0,Bachelor's degree,,Moderate-term on-the-job training,Community and Social Services
        Social and human service assistants,21-1093,Line item,433.0,467.4,0.3,0.3,34.4,7.9,0.5,48.4,41410.0,High school diploma or equivalent,,Short-term on-the-job training,Community and Social Services
        Community health workers,21-1094,Line item,63.4,71.7,0.0,0.0,8.3,13.1,0.9,7.5,48200.0,High school diploma or equivalent,,Short-term on-the-job training,Community and Social Services
"        Community and social service specialists, all other",21-1099,Line item,103.6,109.8,0.1,0.1,6.1,5.9,0.7,11.1,49690.0,Bachelor's degree,,,Community and Social Services
      Clergy,21-2011,Line item,260.1,266.7,0.2,0.2,6.5,2.5,6.0,23.4,58920.0,Bachelor's degree,,Moderate-term on-the-job training,Community and Social Services
"      Directors, religious activities and education",21-2021,Line item,155.9,159.4,0.1,0.1,3.5,2.2,0.1,15.4,50140.0,Bachelor's degree,Less than 5 years,,Community and Social Services
"      Religious workers, all other",21-2099,Line item,83.8,85.7,0.0,0.0,1.9,2.2,2.2,11.3,37960.0,Bachelor's degree,,,Community and Social Services
        Lawyers,23-1011,Line item,859.0,903.3,0.5,0.5,44.2,5.2,13.3,35.6,145760.0,Doctoral or professional degree,,,Legal
        Judicial law clerks,23-1012,Line item,15.6,16.1,0.0,0.0,0.5,3.4,,1.0,57490.0,Doctoral or professional degree,,,Legal
"        Administrative law judges, adjudicators, and hearing officers",23-1021,Line item,15.8,16.1,0.0,0.0,0.3,2.1,,0.6,111090.0,Doctoral or professional degree,5 years or more,Short-term on-the-job training,Legal
"        Arbitrators, mediators, and conciliators",23-1022,Line item,8.2,8.7,0.0,0.0,0.5,6.1,9.4,0.3,71540.0,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,Legal
"        Judges, magistrate judges, and magistrates",23-1023,Line item,25.9,26.8,0.0,0.0,0.9,3.4,,1.0,148910.0,Doctoral or professional degree,5 years or more,Short-term on-the-job training,Legal
      Paralegals and legal assistants,23-2011,Line item,366.2,370.5,0.2,0.2,4.3,1.2,1.8,37.3,60970.0,Associate's degree,,,Legal
"        Title examiners, abstractors, and searchers",23-2093,Line item,56.3,56.9,0.0,0.0,0.6,1.0,4.3,5.1,53550.0,High school diploma or equivalent,,Moderate-term on-the-job training,Legal
"        Legal support workers, all other",23-2099,Line item,47.3,47.8,0.0,0.0,0.5,1.0,3.2,4.6,67700.0,Associate's degree,,,Legal
"      Business teachers, postsecondary",25-1011,Line item,104.9,111.9,0.1,0.1,7.0,6.7,0.3,8.7,97130.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Computer science teachers, postsecondary",25-1021,Line item,45.0,47.7,0.0,0.0,2.7,6.1,0.2,3.7,96430.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Mathematical science teachers, postsecondary",25-1022,Line item,58.5,60.4,0.0,0.0,1.9,3.3,0.1,4.6,81020.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Architecture teachers, postsecondary",25-1031,Line item,10.7,11.0,0.0,0.0,0.3,3.2,,0.8,105770.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Engineering teachers, postsecondary",25-1032,Line item,48.8,53.3,0.0,0.0,4.5,9.2,0.2,4.2,106910.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Agricultural sciences teachers, postsecondary",25-1041,Line item,9.5,9.9,0.0,0.0,0.5,4.8,,0.8,85260.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Biological science teachers, postsecondary",25-1042,Line item,64.9,70.3,0.0,0.0,5.4,8.4,0.2,5.6,83920.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Forestry and conservation science teachers, postsecondary",25-1043,Line item,1.6,1.7,0.0,0.0,0.1,5.0,,0.1,101650.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Line item,14.4,15.0,0.0,0.0,0.5,3.8,,1.1,100690.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Chemistry teachers, postsecondary",25-1052,Line item,25.4,26.2,0.0,0.0,0.9,3.4,0.2,2.0,85810.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Environmental science teachers, postsecondary",25-1053,Line item,9.1,9.4,0.0,0.0,0.4,3.9,,0.7,88410.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Physics teachers, postsecondary",25-1054,Line item,17.7,18.4,0.0,0.0,0.7,3.7,,1.4,98020.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Anthropology and archeology teachers, postsecondary",25-1061,Line item,6.3,6.5,0.0,0.0,0.2,3.8,,0.5,93650.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,14.7,15.3,0.0,0.0,0.5,3.6,,1.2,86030.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Economics teachers, postsecondary",25-1063,Line item,15.5,16.0,0.0,0.0,0.5,3.5,,1.2,115300.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Geography teachers, postsecondary",25-1064,Line item,4.3,4.5,0.0,0.0,0.2,4.3,,0.3,85600.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Political science teachers, postsecondary",25-1065,Line item,21.7,22.4,0.0,0.0,0.7,3.3,0.3,1.7,93810.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Psychology teachers, postsecondary",25-1066,Line item,51.1,53.6,0.0,0.0,2.6,5.0,0.3,4.1,82140.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Sociology teachers, postsecondary",25-1067,Line item,16.1,16.6,0.0,0.0,0.5,3.4,,1.3,82670.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Social sciences teachers, postsecondary, all other",25-1069,Line item,20.3,20.8,0.0,0.0,0.6,2.7,,1.6,77750.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Health specialties teachers, postsecondary",25-1071,Line item,284.2,337.5,0.2,0.2,53.3,18.8,0.3,28.4,105650.0,Doctoral or professional degree,Less than 5 years,,Educational Instruction and Library
"        Nursing instructors and teachers, postsecondary",25-1072,Line item,89.9,105.9,0.1,0.1,16.1,17.9,0.3,8.9,80780.0,Doctoral or professional degree,Less than 5 years,,Educational Instruction and Library
"        Education teachers, postsecondary",25-1081,Line item,77.2,79.7,0.0,0.0,2.5,3.3,0.3,6.1,73240.0,Doctoral or professional degree,Less than 5 years,,Educational Instruction and Library
"        Library science teachers, postsecondary",25-1082,Line item,5.3,5.5,0.0,0.0,0.2,4.2,,0.4,80310.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,16.1,16.6,0.0,0.0,0.5,2.9,,1.3,69030.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Law teachers, postsecondary",25-1112,Line item,19.0,19.4,0.0,0.0,0.4,2.2,0.4,1.5,127360.0,Doctoral or professional degree,Less than 5 years,,Educational Instruction and Library
"        Social work teachers, postsecondary",25-1113,Line item,15.1,15.7,0.0,0.0,0.5,3.6,,1.2,75020.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Art, drama, and music teachers, postsecondary",25-1121,Line item,127.4,130.9,0.1,0.1,3.5,2.7,0.3,9.9,80360.0,Master's degree,,,Educational Instruction and Library
"        Communications teachers, postsecondary",25-1122,Line item,35.0,36.2,0.0,0.0,1.2,3.3,0.2,2.8,79910.0,Doctoral or professional degree,,,Educational Instruction and Library
"        English language and literature teachers, postsecondary",25-1123,Line item,70.1,70.9,0.0,0.0,0.8,1.1,0.2,5.3,78130.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Foreign language and literature teachers, postsecondary",25-1124,Line item,26.1,26.4,0.0,0.0,0.3,1.0,0.3,2.0,78760.0,Doctoral or professional degree,,,Educational Instruction and Library
"        History teachers, postsecondary",25-1125,Line item,25.8,26.0,0.0,0.0,0.2,0.9,0.2,1.9,82140.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Philosophy and religion teachers, postsecondary",25-1126,Line item,26.4,27.0,0.0,0.0,0.5,2.0,0.4,2.0,79930.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Family and consumer sciences teachers, postsecondary",25-1192,Line item,3.3,3.5,0.0,0.0,0.1,4.3,,0.3,78410.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Recreation and fitness studies teachers, postsecondary",25-1193,Line item,16.2,16.7,0.0,0.0,0.6,3.4,,1.3,75770.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Career/technical education teachers, postsecondary",25-1194,Line item,121.8,121.9,0.1,0.1,0.1,0.1,0.4,9.0,62060.0,Bachelor's degree,Less than 5 years,,Educational Instruction and Library
"        Postsecondary teachers, all other",25-1199,Line item,202.5,209.0,0.1,0.1,6.5,3.2,0.2,15.9,79870.0,Doctoral or professional degree,,,Educational Instruction and Library
"        Preschool teachers, except special education",25-2011,Line item,528.5,551.8,0.3,0.3,23.3,4.4,1.0,61.4,37130.0,Associate's degree,,,Educational Instruction and Library
"        Kindergarten teachers, except special education",25-2012,Line item,122.7,121.8,0.1,0.1,-0.8,-0.7,0.2,13.3,62690.0,Bachelor's degree,,,Educational Instruction and Library
"        Elementary school teachers, except special education",25-2021,Line item,1441.0,1430.4,0.9,0.8,-10.7,-0.7,0.4,93.2,63680.0,Bachelor's degree,,,Educational Instruction and Library
"        Middle school teachers, except special and career/technical education",25-2022,Line item,640.0,635.3,0.4,0.4,-4.7,-0.7,0.5,41.4,64290.0,Bachelor's degree,,,Educational Instruction and Library
"        Career/technical education teachers, middle school",25-2023,Line item,12.2,12.1,0.0,0.0,-0.1,-0.9,,0.8,63860.0,Bachelor's degree,Less than 5 years,,Educational Instruction and Library
"        Secondary school teachers, except special and career/technical education",25-2031,Line item,1071.4,1064.5,0.6,0.6,-6.9,-0.6,0.2,64.0,65220.0,Bachelor's degree,,,Educational Instruction and Library
"        Career/technical education teachers, secondary school",25-2032,Line item,89.6,88.9,0.1,0.1,-0.7,-0.8,,5.3,65130.0,Bachelor's degree,Less than 5 years,,Educational Instruction and Library
"        Special education teachers, preschool",25-2051,Line item,25.7,26.1,0.0,0.0,0.4,1.6,0.8,1.8,65270.0,Bachelor's degree,,,Educational Instruction and Library
"        Special education teachers, kindergarten and elementary school",25-2052,Line item,212.7,211.2,0.1,0.1,-1.6,-0.7,0.1,14.2,64910.0,Bachelor's degree,,,Educational Instruction and Library
"        Special education teachers, middle school",25-2057,Line item,88.6,87.8,0.1,0.1,-0.8,-0.9,0.1,5.9,66600.0,Bachelor's degree,,,Educational Instruction and Library
"        Special education teachers, secondary school",25-2058,Line item,159.5,158.6,0.1,0.1,-0.9,-0.6,0.2,10.7,66620.0,Bachelor's degree,,,Educational Instruction and Library
"        Special education teachers, all other",25-2059,Line item,45.1,46.0,0.0,0.0,1.0,2.1,0.7,3.2,67190.0,Bachelor's degree,,,Educational Instruction and Library
"      Adult basic education, adult secondary education, and english as a second language instructors",25-3011,Line item,41.7,36.4,0.0,0.0,-5.3,-12.7,5.9,4.1,60560.0,Bachelor's degree,,,Educational Instruction and Library
      Self-enrichment teachers,25-3021,Line item,370.1,382.8,0.2,0.2,12.7,3.4,18.4,46.1,45330.0,High school diploma or equivalent,Less than 5 years,,Educational Instruction and Library
"      Substitute teachers, short-term",25-3031,Line item,473.3,489.2,0.3,0.3,15.9,3.4,5.2,58.9,37380.0,Bachelor's degree,,,Educational Instruction and Library
      Tutors,25-3041,Line item,195.1,196.4,0.1,0.1,1.3,0.7,11.3,34.0,39580.0,"Some college, no degree",,,Educational Instruction and Library
"      Teachers and instructors, all other",25-3099,Line item,143.5,145.5,0.1,0.1,1.9,1.4,9.5,17.4,64390.0,Bachelor's degree,,,Educational Instruction and Library
        Archivists,25-4011,Line item,8.8,9.5,0.0,0.0,0.7,8.0,5.3,1.1,59910.0,Master's degree,,,Educational Instruction and Library
        Curators,25-4012,Line item,14.2,16.0,0.0,0.0,1.7,12.2,6.6,1.8,61750.0,Master's degree,,,Educational Instruction and Library
        Museum technicians and conservators,25-4013,Line item,14.4,16.0,0.0,0.0,1.6,10.7,6.0,1.8,48670.0,Bachelor's degree,,,Educational Instruction and Library
      Librarians and media collections specialists,25-4022,Line item,142.2,146.4,0.1,0.1,4.2,2.9,,13.3,64370.0,Master's degree,,,Educational Instruction and Library
      Library technicians,25-4031,Line item,81.5,77.0,0.0,0.0,-4.6,-5.6,,13.2,39310.0,Postsecondary nondegree award,,,Educational Instruction and Library
      Farm and home management educators,25-9021,Line item,9.8,9.7,0.0,0.0,-0.2,-1.7,,0.8,59770.0,Master's degree,,,Educational Instruction and Library
      Instructional coordinators,25-9031,Line item,225.2,229.3,0.1,0.1,4.1,1.8,2.0,20.1,74620.0,Master's degree,5 years or more,,Educational Instruction and Library
"        Teaching assistants, postsecondary",25-9044,Line item,184.6,192.1,0.1,0.1,7.4,4.0,0.3,22.9,43750.0,Bachelor's degree,,,Educational Instruction and Library
"        Teaching assistants, except postsecondary",25-9045,Line item,1389.2,1381.0,0.8,0.8,-8.2,-0.6,0.3,161.9,35550.0,"Some college, no degree",,,Educational Instruction and Library
"      Educational instruction and library workers, all other",25-9099,Line item,127.2,129.7,0.1,0.1,2.5,2.0,1.6,11.4,49800.0,Bachelor's degree,,,Educational Instruction and Library
        Art directors,27-1011,Line item,126.6,133.2,0.1,0.1,6.6,5.2,58.9,11.7,106500.0,Bachelor's degree,5 years or more,,"Arts, Design, Entertainment, Sports, and Media"
        Craft artists,27-1012,Line item,14.3,14.6,0.0,0.0,0.3,2.2,59.8,1.3,36600.0,No formal educational credential,,Long-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
"        Fine artists, including painters, sculptors, and illustrators",27-1013,Line item,26.3,27.4,0.0,0.0,1.1,4.0,59.1,2.4,59300.0,Bachelor's degree,,Long-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
        Special effects artists and animators,27-1014,Line item,73.3,76.4,0.0,0.0,3.2,4.3,59.5,6.7,99060.0,Bachelor's degree,,,"Arts, Design, Entertainment, Sports, and Media"
"        Artists and related workers, all other",27-1019,Line item,13.4,13.8,0.0,0.0,0.4,3.3,41.7,1.2,74750.0,No formal educational credential,,Long-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
        Commercial and industrial designers,27-1021,Line item,34.0,35.1,0.0,0.0,1.1,3.1,9.6,2.3,76250.0,Bachelor's degree,,,"Arts, Design, Entertainment, Sports, and Media"
        Fashion designers,27-1022,Line item,21.9,22.9,0.0,0.0,1.0,4.7,9.2,2.1,79290.0,Bachelor's degree,,,"Arts, Design, Entertainment, Sports, and Media"
        Floral designers,27-1023,Line item,53.7,48.1,0.0,0.0,-5.6,-10.4,18.1,5.6,34690.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
        Graphic designers,27-1024,Line item,267.2,273.8,0.2,0.2,6.6,2.5,18.2,21.1,58910.0,Bachelor's degree,,,"Arts, Design, Entertainment, Sports, and Media"
        Interior designers,27-1025,Line item,92.2,95.9,0.1,0.1,3.7,4.0,27.0,8.8,62510.0,Bachelor's degree,,,"Arts, Design, Entertainment, Sports, and Media"
        Merchandise displayers and window trimmers,27-1026,Line item,176.4,184.7,0.1,0.1,8.4,4.8,,19.8,36230.0,High school diploma or equivalent,,Short-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
        Set and exhibit designers,27-1027,Line item,29.6,31.1,0.0,0.0,1.5,5.1,63.8,2.4,59490.0,Bachelor's degree,,,"Arts, Design, Entertainment, Sports, and Media"
"        Designers, all other",27-1029,Line item,30.4,31.3,0.0,0.0,0.9,3.0,66.1,2.4,67500.0,Bachelor's degree,,,"Arts, Design, Entertainment, Sports, and Media"
        Actors,27-2011,Line item,76.0,79.5,0.0,0.0,3.5,4.5,17.1,8.6,,"Some college, no degree",,Long-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
        Producers and directors,27-2012,Line item,167.9,181.5,0.1,0.1,13.5,8.0,6.9,13.9,82510.0,Bachelor's degree,Less than 5 years,,"Arts, Design, Entertainment, Sports, and Media"
        Athletes and sports competitors,27-2021,Line item,25.1,27.8,0.0,0.0,2.8,11.1,24.8,3.4,70280.0,No formal educational credential,,Long-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
        Coaches and scouts,27-2022,Line item,307.1,334.0,0.2,0.2,26.9,8.8,13.4,41.8,45910.0,Bachelor's degree,,,"Arts, Design, Entertainment, Sports, and Media"
"        Umpires, referees, and other sports officials",27-2023,Line item,23.1,25.5,0.0,0.0,2.4,10.4,30.4,5.5,35820.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
        Dancers,27-2031,Line item,15.2,16.2,0.0,0.0,1.0,6.7,22.1,2.5,,No formal educational credential,,Long-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
        Choreographers,27-2032,Line item,5.4,5.7,0.0,0.0,0.3,5.3,21.5,0.9,52000.0,High school diploma or equivalent,5 years or more,Long-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
        Music directors and composers,27-2041,Line item,50.3,51.6,0.0,0.0,1.4,2.7,32.0,5.1,62590.0,Bachelor's degree,Less than 5 years,,"Arts, Design, Entertainment, Sports, and Media"
        Musicians and singers,27-2042,Line item,169.3,172.8,0.1,0.1,3.5,2.1,52.6,20.4,,No formal educational credential,,Long-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
"        Disc jockeys, except radio",27-2091,Line item,21.0,22.1,0.0,0.0,1.1,5.1,65.6,2.0,,High school diploma or equivalent,,Short-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
"        Entertainers and performers, sports and related workers, all other",27-2099,Line item,35.7,38.3,0.0,0.0,2.6,7.3,56.7,4.7,,No formal educational credential,,Short-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
      Broadcast announcers and radio disc jockeys,27-3011,Line item,26.5,25.4,0.0,0.0,-1.1,-4.0,3.7,2.8,44890.0,Bachelor's degree,,,"Arts, Design, Entertainment, Sports, and Media"
"      News analysts, reporters, and journalists",27-3023,Line item,49.8,48.4,0.0,0.0,-1.4,-2.7,11.3,4.5,57500.0,Bachelor's degree,,,"Arts, Design, Entertainment, Sports, and Media"
      Public relations specialists,27-3031,Line item,308.0,327.2,0.2,0.2,19.2,6.2,1.1,27.1,66750.0,Bachelor's degree,,,"Arts, Design, Entertainment, Sports, and Media"
        Editors,27-3041,Line item,114.2,111.9,0.1,0.1,-2.3,-2.0,13.6,9.3,75020.0,Bachelor's degree,Less than 5 years,,"Arts, Design, Entertainment, Sports, and Media"
        Technical writers,27-3042,Line item,50.1,52.1,0.0,0.0,2.0,4.0,2.0,4.1,80050.0,Bachelor's degree,Less than 5 years,Short-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
        Writers and authors,27-3043,Line item,150.7,158.4,0.1,0.1,7.7,5.1,65.9,15.1,73690.0,Bachelor's degree,,Long-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
        Interpreters and translators,27-3091,Line item,78.3,80.1,0.0,0.0,1.8,2.3,32.3,7.5,57090.0,Bachelor's degree,,,"Arts, Design, Entertainment, Sports, and Media"
        Court reporters and simultaneous captioners,27-3092,Line item,17.5,17.9,0.0,0.0,0.3,1.8,26.4,1.6,63940.0,Postsecondary nondegree award,,Short-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
"        Media and communication workers, all other",27-3099,Line item,27.0,29.1,0.0,0.0,2.2,8.0,9.4,2.6,61900.0,High school diploma or equivalent,,Short-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
        Audio and video technicians,27-4011,Line item,87.3,91.9,0.1,0.1,4.6,5.3,9.7,8.0,51640.0,Postsecondary nondegree award,,Short-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
        Broadcast technicians,27-4012,Line item,30.0,30.0,0.0,0.0,0.0,0.1,11.7,2.5,57690.0,Associate's degree,,Short-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
        Sound engineering technicians,27-4014,Line item,18.0,17.9,0.0,0.0,-0.1,-0.5,11.1,1.5,59430.0,Postsecondary nondegree award,,Short-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
        Lighting technicians,27-4015,Line item,10.8,10.5,0.0,0.0,-0.3,-3.0,12.0,0.9,62240.0,Postsecondary nondegree award,,Short-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
      Photographers,27-4021,Line item,151.1,156.9,0.1,0.1,5.8,3.9,65.1,13.7,40760.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
"        Camera operators, television, video, and film",27-4031,Line item,38.2,38.9,0.0,0.0,0.7,1.9,34.0,3.1,61800.0,Bachelor's degree,,,"Arts, Design, Entertainment, Sports, and Media"
        Film and video editors,27-4032,Line item,47.2,49.4,0.0,0.0,2.2,4.7,34.7,4.0,66600.0,Bachelor's degree,,,"Arts, Design, Entertainment, Sports, and Media"
"      Media and communication equipment workers, all other",27-4099,Line item,13.3,13.7,0.0,0.0,0.5,3.4,6.9,1.2,71340.0,High school diploma or equivalent,,Short-term on-the-job training,"Arts, Design, Entertainment, Sports, and Media"
      Chiropractors,29-1011,Line item,61.2,67.3,0.0,0.0,6.1,9.9,31.6,3.1,76530.0,Doctoral or professional degree,,,Healthcare Practitioners and Technical
"        Dentists, general",29-1021,Line item,141.0,147.7,0.1,0.1,6.7,4.8,13.1,4.3,166300.0,Doctoral or professional degree,,,Healthcare Practitioners and Technical
