occupational_code,education,importance
33-2021,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
33-2021,Doctoral Degree,0.0
33-2021,Post-Doctoral Training,0.0
33-2022,Less than a High School Diploma,0.0
33-2022,"High School Diploma - or the equivalent (for example, GED)",31.63
33-2022,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",8.92
33-2022,Some College Courses,17.52
33-2022,Associate's Degree (or other 2-year degree),17.9
33-2022,Bachelor's Degree,24.03
33-2022,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
33-2022,Master's Degree,0.0
33-2022,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
33-2022,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
33-2022,Doctoral Degree,0.0
33-2022,Post-Doctoral Training,0.0
33-3011,Less than a High School Diploma,5.94
33-3011,"High School Diploma - or the equivalent (for example, GED)",39.86
33-3011,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",20.84
33-3011,Some College Courses,0.0
33-3011,Associate's Degree (or other 2-year degree),33.35
33-3011,Bachelor's Degree,0.0
33-3011,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
33-3011,Master's Degree,0.0
33-3011,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
33-3011,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
33-3011,Doctoral Degree,0.0
33-3011,Post-Doctoral Training,0.0
33-3012,Less than a High School Diploma,0.0
33-3012,"High School Diploma - or the equivalent (for example, GED)",92.43
33-3012,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
33-3012,Some College Courses,0.0
33-3012,Associate's Degree (or other 2-year degree),7.57
33-3012,Bachelor's Degree,0.0
33-3012,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
33-3012,Master's Degree,0.0
33-3012,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
33-3012,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
33-3012,Doctoral Degree,0.0
33-3012,Post-Doctoral Training,0.0
33-3021,Less than a High School Diploma,0.0
33-3021,"High School Diploma - or the equivalent (for example, GED)",32.48
33-3021,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",19.72
33-3021,Some College Courses,17.86
33-3021,Associate's Degree (or other 2-year degree),19.95
33-3021,Bachelor's Degree,10.0
33-3021,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
33-3021,Master's Degree,0.0
33-3021,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
33-3021,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
33-3021,Doctoral Degree,0.0
33-3021,Post-Doctoral Training,0.0
33-3031,Less than a High School Diploma,0.0
33-3031,"High School Diploma - or the equivalent (for example, GED)",13.77
33-3031,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.55
33-3031,Some College Courses,1.95
33-3031,Associate's Degree (or other 2-year degree),4.39
33-3031,Bachelor's Degree,79.35
33-3031,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
33-3031,Master's Degree,0.0
33-3031,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
33-3031,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
33-3031,Doctoral Degree,0.0
33-3031,Post-Doctoral Training,0.0
33-3041,Less than a High School Diploma,4.33
33-3041,"High School Diploma - or the equivalent (for example, GED)",90.61
33-3041,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",1.57
33-3041,Some College Courses,1.78
33-3041,Associate's Degree (or other 2-year degree),0.27
33-3041,Bachelor's Degree,1.43
33-3041,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
33-3041,Master's Degree,0.0
33-3041,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
33-3041,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
33-3041,Doctoral Degree,0.0
33-3041,Post-Doctoral Training,0.0
33-3051,Less than a High School Diploma,0.0
33-3051,"High School Diploma - or the equivalent (for example, GED)",40.4
33-3051,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",21.31
33-3051,Some College Courses,14.65
33-3051,Associate's Degree (or other 2-year degree),17.09
33-3051,Bachelor's Degree,6.56
33-3051,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
33-3051,Master's Degree,0.0
33-3051,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
33-3051,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
33-3051,Doctoral Degree,0.0
33-3051,Post-Doctoral Training,0.0
33-3052,Less than a High School Diploma,0.0
33-3052,"High School Diploma - or the equivalent (for example, GED)",20.57
33-3052,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",13.78
33-3052,Some College Courses,25.93
33-3052,Associate's Degree (or other 2-year degree),5.39
33-3052,Bachelor's Degree,28.41
33-3052,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
33-3052,Master's Degree,4.55
33-3052,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
33-3052,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",1.3800000000000001
33-3052,Doctoral Degree,0.0
33-3052,Post-Doctoral Training,0.0
33-9011,Less than a High School Diploma,0.0
33-9011,"High School Diploma - or the equivalent (for example, GED)",60.45
33-9011,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",29.57
33-9011,Some College Courses,0.0
33-9011,Associate's Degree (or other 2-year degree),9.98
33-9011,Bachelor's Degree,0.0
33-9011,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
33-9011,Master's Degree,0.0
33-9011,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
33-9011,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
33-9011,Doctoral Degree,0.0
33-9011,Post-Doctoral Training,0.0
33-9021,Less than a High School Diploma,0.0
33-9021,"High School Diploma - or the equivalent (for example, GED)",25.11
33-9021,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",4.25
33-9021,Some College Courses,12.07
33-9021,Associate's Degree (or other 2-year degree),16.41
33-9021,Bachelor's Degree,37.69
33-9021,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,4.46
33-9021,Master's Degree,0.0
33-9021,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
33-9021,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
33-9021,Doctoral Degree,0.0
33-9021,Post-Doctoral Training,0.0
33-9031,Less than a High School Diploma,2.24
33-9031,"High School Diploma - or the equivalent (for example, GED)",84.07
33-9031,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",5.87
33-9031,Some College Courses,2.72
33-9031,Associate's Degree (or other 2-year degree),5.1
33-9031,Bachelor's Degree,0.0
33-9031,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
33-9031,Master's Degree,0.0
33-9031,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
33-9031,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
33-9031,Doctoral Degree,0.0
33-9031,Post-Doctoral Training,0.0
33-9032,Less than a High School Diploma,0.0
33-9032,"High School Diploma - or the equivalent (for example, GED)",79.26
33-9032,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",4.16
33-9032,Some College Courses,9.56
33-9032,Associate's Degree (or other 2-year degree),5.06
33-9032,Bachelor's Degree,1.96
33-9032,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
33-9032,Master's Degree,0.0
33-9032,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
33-9032,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
33-9032,Doctoral Degree,0.0
33-9032,Post-Doctoral Training,0.0
33-9091,Less than a High School Diploma,17.95
33-9091,"High School Diploma - or the equivalent (for example, GED)",72.8
33-9091,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",3.21
33-9091,Some College Courses,6.04
33-9091,Associate's Degree (or other 2-year degree),0.0
33-9091,Bachelor's Degree,0.0
33-9091,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
33-9091,Master's Degree,0.0
33-9091,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
33-9091,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
33-9091,Doctoral Degree,0.0
33-9091,Post-Doctoral Training,0.0
33-9092,Less than a High School Diploma,39.22
33-9092,"High School Diploma - or the equivalent (for example, GED)",21.13
33-9092,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",17.28
33-9092,Some College Courses,5.05
33-9092,Associate's Degree (or other 2-year degree),16.1
33-9092,Bachelor's Degree,1.22
33-9092,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
33-9092,Master's Degree,0.0
33-9092,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
33-9092,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
33-9092,Doctoral Degree,0.0
33-9092,Post-Doctoral Training,0.0
33-9093,Less than a High School Diploma,3.7
33-9093,"High School Diploma - or the equivalent (for example, GED)",85.19
33-9093,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
33-9093,Some College Courses,11.11
33-9093,Associate's Degree (or other 2-year degree),0.0
33-9093,Bachelor's Degree,0.0
33-9093,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
33-9093,Master's Degree,0.0
33-9093,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
33-9093,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
33-9093,Doctoral Degree,0.0
33-9093,Post-Doctoral Training,0.0
33-9094,,
33-9099,,
35-1011,Less than a High School Diploma,6.9
35-1011,"High School Diploma - or the equivalent (for example, GED)",6.9
35-1011,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",17.24
35-1011,Some College Courses,3.45
35-1011,Associate's Degree (or other 2-year degree),51.72
35-1011,Bachelor's Degree,10.34
35-1011,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,3.45
35-1011,Master's Degree,0.0
35-1011,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
35-1011,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
35-1011,Doctoral Degree,0.0
35-1011,Post-Doctoral Training,0.0
35-1012,Less than a High School Diploma,37.36
35-1012,"High School Diploma - or the equivalent (for example, GED)",43.58
35-1012,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",9.69
35-1012,Some College Courses,2.09
35-1012,Associate's Degree (or other 2-year degree),7.28
35-1012,Bachelor's Degree,0.0
35-1012,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
35-1012,Master's Degree,0.0
35-1012,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
35-1012,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
35-1012,Doctoral Degree,0.0
35-1012,Post-Doctoral Training,0.0
35-2011,Less than a High School Diploma,42.02
35-2011,"High School Diploma - or the equivalent (for example, GED)",57.98
35-2011,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
35-2011,Some College Courses,0.0
35-2011,Associate's Degree (or other 2-year degree),0.0
35-2011,Bachelor's Degree,0.0
35-2011,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
35-2011,Master's Degree,0.0
35-2011,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
35-2011,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
35-2011,Doctoral Degree,0.0
35-2011,Post-Doctoral Training,0.0
35-2012,Less than a High School Diploma,1.94
35-2012,"High School Diploma - or the equivalent (for example, GED)",71.14
35-2012,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",14.21
35-2012,Some College Courses,5.85
35-2012,Associate's Degree (or other 2-year degree),0.08
35-2012,Bachelor's Degree,6.78
35-2012,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
35-2012,Master's Degree,0.0
35-2012,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
35-2012,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
35-2012,Doctoral Degree,0.0
35-2012,Post-Doctoral Training,0.0
35-2013,Less than a High School Diploma,15.38
35-2013,"High School Diploma - or the equivalent (for example, GED)",30.77
35-2013,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",38.46
35-2013,Some College Courses,3.85
35-2013,Associate's Degree (or other 2-year degree),11.54
35-2013,Bachelor's Degree,0.0
35-2013,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
35-2013,Master's Degree,0.0
35-2013,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
35-2013,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
35-2013,Doctoral Degree,0.0
35-2013,Post-Doctoral Training,0.0
35-2014,Less than a High School Diploma,18.92
35-2014,"High School Diploma - or the equivalent (for example, GED)",44.02
35-2014,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",17.56
35-2014,Some College Courses,11.21
35-2014,Associate's Degree (or other 2-year degree),4.77
35-2014,Bachelor's Degree,0.87
35-2014,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
35-2014,Master's Degree,0.0
35-2014,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
35-2014,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
35-2014,Doctoral Degree,0.0
35-2014,Post-Doctoral Training,2.65
35-2015,Less than a High School Diploma,33.71
35-2015,"High School Diploma - or the equivalent (for example, GED)",54.67
35-2015,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
35-2015,Some College Courses,10.69
35-2015,Associate's Degree (or other 2-year degree),0.93
35-2015,Bachelor's Degree,0.0
35-2015,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
35-2015,Master's Degree,0.0
35-2015,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
35-2015,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
35-2015,Doctoral Degree,0.0
35-2015,Post-Doctoral Training,0.0
35-2019,,
35-2021,Less than a High School Diploma,2.73
35-2021,"High School Diploma - or the equivalent (for example, GED)",69.48
35-2021,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",1.2
35-2021,Some College Courses,22.44
35-2021,Associate's Degree (or other 2-year degree),0.0
35-2021,Bachelor's Degree,0.0
35-2021,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
35-2021,Master's Degree,0.0
35-2021,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
35-2021,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
35-2021,Doctoral Degree,4.15
35-2021,Post-Doctoral Training,0.0
35-3011,Less than a High School Diploma,36.98
35-3011,"High School Diploma - or the equivalent (for example, GED)",42.96
35-3011,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",2.57
35-3011,Some College Courses,16.37
35-3011,Associate's Degree (or other 2-year degree),0.0
35-3011,Bachelor's Degree,1.12
35-3011,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
35-3011,Master's Degree,0.0
35-3011,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
35-3011,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
35-3011,Doctoral Degree,0.0
35-3011,Post-Doctoral Training,0.0
35-3023,Less than a High School Diploma,53.6
35-3023,"High School Diploma - or the equivalent (for example, GED)",26.77
35-3023,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",3.21
35-3023,Some College Courses,15.48
35-3023,Associate's Degree (or other 2-year degree),0.61
35-3023,Bachelor's Degree,0.0
35-3023,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
35-3023,Master's Degree,0.0
35-3023,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
35-3023,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
35-3023,Doctoral Degree,0.33
35-3023,Post-Doctoral Training,0.0
35-3031,Less than a High School Diploma,28.37
35-3031,"High School Diploma - or the equivalent (for example, GED)",57.0
35-3031,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
35-3031,Some College Courses,5.22
35-3031,Associate's Degree (or other 2-year degree),2.33
35-3031,Bachelor's Degree,7.08
35-3031,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
35-3031,Master's Degree,0.0
35-3031,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
35-3031,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
35-3031,Doctoral Degree,0.0
35-3031,Post-Doctoral Training,0.0
35-3041,Less than a High School Diploma,27.09
35-3041,"High School Diploma - or the equivalent (for example, GED)",48.08
35-3041,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",1.37
35-3041,Some College Courses,8.64
35-3041,Associate's Degree (or other 2-year degree),2.0
35-3041,Bachelor's Degree,6.18
35-3041,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
35-3041,Master's Degree,0.0
35-3041,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
35-3041,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
35-3041,Doctoral Degree,0.0
35-3041,Post-Doctoral Training,6.64
35-9011,Less than a High School Diploma,22.43
35-9011,"High School Diploma - or the equivalent (for example, GED)",74.01
35-9011,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",2.49
35-9011,Some College Courses,0.0
35-9011,Associate's Degree (or other 2-year degree),1.07
35-9011,Bachelor's Degree,0.0
